	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RCVRN	13012.0630398435	-4.87355921141913	0.103428781046489	-46.9621779749305	0	0
SUSD2	3750.29753383858	-3.0781031165919	0.125660283180032	-24.4475277658345	5.34648162690658e-132	3.92244624558001e-128
UHRF1	2481.16663973242	3.16882636369989	0.143829414858982	21.9620197324484	6.64776705861637e-107	3.25142286836927e-103
MYO5B	1840.62993187403	-2.63764450264942	0.120201322223907	-21.8863064690037	3.50813676020489e-106	1.28112131460282e-102
DBH-AS1	707.606037844285	-4.56771961975325	0.19443275876233	-21.8763340026709	4.36557389287407e-106	1.28112131460282e-102
SEPT4	3776.76355499303	-2.14426045298944	0.100494501110965	-21.3227629595363	6.98126588949692e-101	1.70726857327647e-97
OLAH	1715.97990933185	-2.4456484424618	0.116653280261073	-20.9177453959606	3.69158554557816e-97	7.73809067289549e-94
C2orf71	7807.96542956033	-2.04827008357004	0.105064393177011	-19.4901933141971	1.32977788252841e-84	2.43897885879242e-81
NPTX1	4342.91468586552	1.80274260386011	0.0946874974596051	19.0319815974727	9.26808362611439e-81	1.51100656717752e-77
PRPH2	1053.45801331617	-2.40017077087715	0.131038565345628	-18.2502341591769	2.06024319599013e-74	3.02299484147632e-71
SARDH	947.248552379915	-2.58375644009176	0.146324707524659	-17.5705456234207	4.1416987822153e-69	5.5246496574041e-66
ELAVL3	1190.77364964771	2.29362183039371	0.130818121272932	17.4862066661019	1.82508518938519e-68	2.23162291532074e-65
PDE6H	1891.32941316699	-2.49724884349809	0.143251068761018	-17.3976556700489	8.5949181513002e-68	9.70101800261752e-65
CDKN1A	5581.59669285255	1.96602704763422	0.113745434696949	17.2787892840345	6.79596304358873e-67	7.12265469561268e-64
MDGA1	1370.63503448415	-2.5559178006028	0.149339957976119	-17.0620030154389	2.84626100401864e-65	2.78421251413104e-62
ANKRD33	460.437802871572	-3.05910113834062	0.176468708161644	-16.9938430208452	9.12123344436545e-65	8.36474114557339e-62
RHOB	6190.95019600873	-1.69664513876468	0.100048418471561	-16.9546044980714	1.77954781112197e-64	1.53595911956428e-61
MYCL	372.649719120711	-3.20963546213852	0.191757763878456	-16.2382451240405	2.70553681276649e-59	2.20546342520682e-56
TXNIP	1395.73219553864	-2.03260036094643	0.12811737399354	-15.8391331209703	1.67108672337162e-56	1.29051871010694e-53
RP1L1	3946.07120710447	-1.74191970757484	0.110158188388839	-15.8070533536432	2.78176833782622e-56	2.0408443410462e-53
CHST1	343.291840861621	-3.05706172040278	0.196147282135034	-15.1660495161009	5.93426864248494e-52	4.14635827577055e-49
DBH	318.134972853249	-4.02335389167657	0.240595502032888	-14.9824909554613	9.55669774993964e-51	6.37388300385747e-48
CTNNA2	327.476426416154	-3.19842302104603	0.2066462489353	-14.9580279558147	1.38056721674633e-50	8.80741859622563e-48
LEFTY2	556.640295612138	-2.40688543189814	0.163545554396648	-14.6126632397662	2.33219889393136e-48	1.42584809877728e-45
TFF1	250.802269644495	-3.64799246197173	0.231513158131039	-14.4425774030189	2.7920285077065e-47	1.6386973717431e-44
NR2E3	827.641611716451	-2.4701743446789	0.170660755092328	-14.4084635797597	4.57780981107667e-47	2.58346935992031e-44
SYT17	289.682986808139	-3.04737284971199	0.205471636821986	-14.3511190832992	1.04831872264661e-46	5.69702985829398e-44
PDE6C	288.793096995673	-3.03283029070471	0.206787835692713	-14.2007158554435	9.06813241152338e-46	4.75202524551009e-43
